,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,белый,бензин,1995,4,1999,автоматическая,2.8 LTR,193 N12,350000,задний,Левый,3 или более,Оригинал,333333
1,седан,белый,дизель,2016,4,2018,автоматическая,2.0 LTR,190 N12,34000,полный,Левый,2владельца,Оригинал,2790000
2,седан,чёрный,бензин,2009,4,2011,автоматическая,2.5 LTR,204 N12,198000,задний,Левый,2владельца,Оригинал,950000
3,седан,синий,бензин,1995,4,1999,автоматическая,2.0 LTR,150 N12,390000,задний,Левый,3 или более,Оригинал,220000
4,седан,серебристый,дизель,2007,4,2007,автоматическая,2.0 LTR,163 N12,192000,задний,Левый,3 или более,Дубликат,670000
5,лифтбек,белый,дизель,2009,5,2012,автоматическая,3.0 LTR,300 N12,80304,полный,Левый,1владелец,Оригинал,3000000
6,седан,бежевый,бензин,2002,4,2004,автоматическая,4.4 LTR,333 N12,152000,задний,Левый,3 или более,Оригинал,750000
7,седан,синий,бензин,1987,4,1988,механическая,2.0 LTR,129 N12,250000,задний,Левый,1владелец,Оригинал,95000
8,седан,серебристый,бензин,2007,4,2008,автоматическая,2.0 LTR,156 N12,179000,задний,Левый,3 или более,Оригинал,850000
9,седан,серебристый,бензин,2007,4,2009,автоматическая,2.5 LTR,218 N12,230792,задний,Левый,1владелец,Оригинал,700000
10,седан,серый,бензин,2002,4,2006,автоматическая,2.5 LTR,218 N12,210000,задний,Левый,1владелец,Оригинал,650000
11,седан,коричневый,бензин,2009,4,2012,автоматическая,2.0 LTR,184 N12,190000,задний,Левый,2владельца,Оригинал,1000000
12,седан,чёрный,бензин,2002,4,2004,механическая,2.2 LTR,170 N12,300000,задний,Левый,3 или более,Оригинал,550000
13,седан,серый,дизель,2016,4,2018,автоматическая,2.0 LTR,190 N12,59000,полный,Левый,2владельца,Оригинал,2499000
14,седан,коричневый,бензин,2009,4,2011,автоматическая,3.0 LTR,258 N12,183032,задний,Левый,3 или более,Дубликат,
15,седан,белый,бензин,1987,4,1991,механическая,2.0 LTR,150 N12,270000,задний,Левый,3 или более,Дубликат,150000
16,седан,белый,дизель,2013,4,2013,автоматическая,3.0 LTR,258 N12,108000,полный,Левый,2владельца,Оригинал,1820000
17,седан,фиолетовый,бензин,1987,4,1995,механическая,1.8 LTR,113 N12,460000,задний,Левый,3 или более,Оригинал,110000
18,седан,чёрный,бензин,1987,4,1991,механическая,2.0 LTR,150 N12,229000,задний,Левый,1владелец,Оригинал,399999
19,седан,чёрный,бензин,2002,4,2006,автоматическая,3.0 LTR,258 N12,200000,полный,Левый,1владелец,Оригинал,680000
20,седан,чёрный,бензин,1995,4,1997,механическая,2.5 LTR,170 N12,276414,задний,Левый,3 или более,Дубликат,399999
21,седан,серебристый,бензин,2000,4,2003,автоматическая,2.2 LTR,170 N12,393800,задний,Левый,3 или более,Оригинал,395000
22,седан,белый,бензин,1987,4,1990,механическая,2.0 LTR,129 N12,297000,задний,Левый,3 или более,Дубликат,130000
23,седан,серый,бензин,2016,4,2018,автоматическая,2.0 LTR,249 N12,111000,полный,Левый,2владельца,Оригинал,2790000
24,седан,серебристый,бензин,2009,4,2012,автоматическая,2.0 LTR,184 N12,130000,задний,Левый,3 или более,Оригинал,1100000
25,седан,синий,бензин,1995,4,1998,механическая,2.0 LTR,150 N12,308000,задний,Левый,3 или более,Дубликат,250000
26,седан,чёрный,дизель,2016,4,2016,автоматическая,2.0 LTR,190 N12,83000,задний,Левый,3 или более,Оригинал,1950000
27,седан,чёрный,бензин,2009,4,2010,автоматическая,2.5 LTR,204 N12,220000,задний,Левый,3 или более,Оригинал,1150000
28,седан,чёрный,бензин,2007,4,2009,автоматическая,3.0 LTR,218 N12,169500,полный,Левый,3 или более,Оригинал,700000
29,седан,серый,бензин,2007,4,2009,автоматическая,2.5 LTR,218 N12,170000,задний,Левый,3 или более,Оригинал,850000
30,седан,синий,бензин,1995,4,1999,механическая,2.0 LTR,150 N12,296000,задний,Левый,3 или более,Оригинал,370000
31,седан,синий,бензин,2009,4,2011,автоматическая,3.0 LTR,306 N12,230000,полный,Левый,2владельца,Оригинал,1190000
32,лифтбек,красный,бензин,2009,5,2011,автоматическая,3.0 LTR,306 N12,169000,полный,Левый,3 или более,Оригинал,1290000
33,седан,чёрный,бензин,1995,4,1995,механическая,2.8 LTR,193 N12,190000,задний,Левый,1владелец,Дубликат,300000
34,седан,чёрный,бензин,1987,4,1995,механическая,2.0 LTR,150 N12,437000,задний,Левый,3 или более,Дубликат,180000
35,универсал 5 дв.,серебристый,бензин,1987,5,1992,механическая,2.0 LTR,150 N12,415000,задний,Левый,3 или более,Оригинал,90000
36,седан,белый,бензин,2007,4,2009,автоматическая,3.0 LTR,218 N12,180000,полный,Левый,3 или более,Дубликат,760000
37,седан,белый,дизель,2016,4,2018,автоматическая,3.0 LTR,249 N12,59000,полный,Левый,1владелец,Оригинал,3450000
