,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,белый,бензин,2012,4,2015,роботизированная,1.4 LTR,125 N12,147978,передний,Левый,2владельца,Оригинал,910000
1,хэтчбек 5 дв.,красный,бензин,2004,5,2005,роботизированная,2.0 LTR,200 N12,188000,передний,Левый,3 или более,Дубликат,414000
2,хэтчбек 3 дв.,чёрный,бензин,2004,3,2008,автоматическая,1.6 LTR,102 N12,179600,передний,Левый,3 или более,Оригинал,399999
3,хэтчбек 3 дв.,белый,бензин,2012,3,2012,роботизированная,1.8 LTR,180 N12,82050,передний,Левый,1владелец,Оригинал,799000
4,седан,чёрный,бензин,2016,4,2017,роботизированная,1.4 LTR,150 N12,92365,передний,Левый,1владелец,Оригинал,1110000
5,хэтчбек 5 дв.,белый,бензин,2012,5,2013,роботизированная,1.4 LTR,122 N12,90628,передний,Левый,2владельца,Оригинал,825000
6,хэтчбек 5 дв.,белый,бензин,2008,5,2012,роботизированная,1.2 LTR,105 N12,177845,передний,Левый,2владельца,Оригинал,520000
7,седан,синий,бензин,2012,4,2015,роботизированная,1.4 LTR,125 N12,128000,передний,Левый,2владельца,Оригинал,945000
8,седан,белый,бензин,2012,4,2014,роботизированная,1.4 LTR,125 N12,112000,передний,Левый,3 или более,Оригинал,890000
9,седан,серый,бензин,2016,4,2020,роботизированная,1.4 LTR,150 N12,364,передний,Левый,1владелец,Оригинал,1744382
10,седан,белый,бензин,2012,4,2014,роботизированная,1.4 LTR,125 N12,136000,передний,Левый,3 или более,Оригинал,799800
11,хэтчбек 5 дв.,белый,бензин,2008,5,2012,роботизированная,1.2 LTR,105 N12,134440,передний,Левый,2владельца,Оригинал,590000
12,хэтчбек 5 дв.,белый,бензин,2012,5,2013,роботизированная,1.4 LTR,122 N12,113000,передний,Левый,2владельца,Оригинал,769000
13,хэтчбек 5 дв.,чёрный,бензин,2012,5,2013,роботизированная,1.4 LTR,122 N12,105043,передний,Левый,2владельца,Оригинал,845000
14,хэтчбек 5 дв.,белый,бензин,2008,5,2008,роботизированная,1.6 LTR,102 N12,168000,передний,Левый,3 или более,Оригинал,445000
15,хэтчбек 5 дв.,белый,бензин,2008,5,2012,роботизированная,1.4 LTR,125 N12,164103,передний,Левый,3 или более,Оригинал,590000
16,хэтчбек 5 дв.,чёрный,бензин,2008,5,2010,роботизированная,1.6 LTR,102 N12,185155,передний,Левый,3 или более,Оригинал,499000
17,седан,зелёный,бензин,2016,4,2017,роботизированная,1.4 LTR,150 N12,69423,передний,Левый,3 или более,Оригинал,1481000
18,седан,чёрный,бензин,2016,4,2017,роботизированная,1.4 LTR,150 N12,96500,передний,Левый,2владельца,Оригинал,
19,хэтчбек 3 дв.,чёрный,бензин,2008,3,2010,роботизированная,1.8 LTR,160 N12,101691,передний,Левый,2владельца,Оригинал,549000
20,седан,белый,бензин,2012,4,2013,роботизированная,1.4 LTR,122 N12,93600,передний,Левый,1владелец,Оригинал,945000
21,седан,серый,бензин,2012,4,2016,роботизированная,1.4 LTR,125 N12,62000,передний,Левый,3 или более,Оригинал,1066234
22,седан,белый,бензин,2012,4,2016,роботизированная,1.4 LTR,125 N12,96861,передний,Левый,2владельца,Оригинал,1128000
23,хэтчбек 5 дв.,красный,бензин,2008,5,2011,роботизированная,1.4 LTR,125 N12,113340,передний,Левый,3 или более,Оригинал,560000
24,седан,голубой,бензин,2016,4,2017,роботизированная,1.4 LTR,150 N12,30175,передний,Левый,1владелец,Оригинал,1478409
25,седан,белый,бензин,2012,4,2015,роботизированная,1.4 LTR,125 N12,116440,передний,Левый,1владелец,Оригинал,1040000
26,седан,красный,бензин,2016,4,2017,роботизированная,1.4 LTR,150 N12,10743,передний,Левый,1владелец,Оригинал,1585000
27,седан,белый,бензин,2012,4,2016,роботизированная,1.4 LTR,125 N12,70800,передний,Левый,1владелец,Оригинал,1109884
28,хэтчбек 5 дв.,белый,бензин,2008,5,2009,роботизированная,1.4 LTR,125 N12,125553,передний,Левый,3 или более,Оригинал,568000
29,седан,белый,бензин,2016,4,2017,роботизированная,1.4 LTR,150 N12,85784,передний,Левый,1владелец,Оригинал,1310000
30,хэтчбек 3 дв.,серый,бензин,2004,3,2007,автоматическая,2.0 LTR,150 N12,193000,передний,Левый,3 или более,Оригинал,410000
31,хэтчбек 5 дв.,красный,бензин,2012,5,2015,роботизированная,1.2 LTR,110 N12,115150,передний,Левый,1владелец,Оригинал,995000
32,хэтчбек 5 дв.,чёрный,бензин,2004,5,2007,автоматическая,2.0 LTR,150 N12,289971,передний,Левый,3 или более,Оригинал,375000
