,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,купе,красный,бензин,2007,2,2008,автоматическая,3.0 LTR,218 N12,175000.0,задний,Левый,3 или более,Оригинал,930000.0
1,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,3.0 LTR,320 N12,105000.0,полный,Левый,3 или более,Дубликат,1690000.0
2,хэтчбек 5 дв.,серебристый,бензин,2011,5,2014,автоматическая,3.0 LTR,320 N12,46862.0,полный,Левый,3 или более,Оригинал,1850000.0
3,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,153596.0,задний,Левый,3 или более,Оригинал,670000.0
4,хэтчбек 3 дв.,синий,бензин,2011,3,2012,автоматическая,3.0 LTR,320 N12,94036.0,задний,Левый,3 или более,Дубликат,1675000.0
5,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,140000.0,задний,Левый,2владельца,Оригинал,825000.0
6,хэтчбек 5 дв.,белый,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,201000.0,задний,Левый,3 или более,Оригинал,500000.0
7,купе,белый,бензин,2007,2,2010,автоматическая,2.0 LTR,156 N12,145767.0,задний,Левый,3 или более,Дубликат,637000.0
8,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,140000.0,задний,Левый,3 или более,Оригинал,1099000.0
9,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,170 N12,105594.0,задний,Левый,2владельца,Оригинал,910000.0
10,хэтчбек 5 дв.,синий,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,34154.0,задний,Левый,2владельца,Оригинал,1549000.0
11,хэтчбек 5 дв.,белый,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,69000.0,задний,Левый,2владельца,Оригинал,1499000.0
12,хэтчбек 5 дв.,чёрный,бензин,2007,5,2011,автоматическая,1.6 LTR,115 N12,121237.0,задний,Левый,2владельца,Оригинал,575000.0
13,хэтчбек 3 дв.,белый,бензин,2007,3,2011,автоматическая,1.6 LTR,115 N12,118741.0,задний,Левый,2владельца,Оригинал,549000.0
14,хэтчбек 5 дв.,чёрный,бензин,2017,5,2017,автоматическая,1.5 LTR,136 N12,75391.0,задний,Левый,1владелец,Оригинал,1525000.0
15,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,87000.0,задний,Левый,2владельца,Оригинал,770000.0
16,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,114746.0,задний,Левый,1владелец,Оригинал,819000.0
17,хэтчбек 5 дв.,синий,бензин,2017,5,2019,автоматическая,1.5 LTR,136 N12,21340.0,задний,Левый,1владелец,Оригинал,1897000.0
18,хэтчбек 3 дв.,чёрный,бензин,2007,3,2009,автоматическая,2.0 LTR,122 N12,138193.0,задний,Левый,3 или более,Оригинал,597000.0
19,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,128000.0,задний,Левый,2владельца,Оригинал,
20,хэтчбек 5 дв.,красный,бензин,2007,5,2009,автоматическая,1.6 LTR,115 N12,100000.0,задний,Левый,3 или более,Оригинал,545000.0
21,хэтчбек 5 дв.,чёрный,бензин,2007,5,2008,автоматическая,1.6 LTR,115 N12,159625.0,задний,Левый,2владельца,Оригинал,425000.0
22,хэтчбек 5 дв.,белый,бензин,2015,5,2017,автоматическая,1.5 LTR,136 N12,61744.0,задний,Левый,1владелец,Оригинал,1439000.0
23,купе,чёрный,дизель,2007,2,2008,автоматическая,2.0 LTR,177 N12,44293.0,задний,Левый,1владелец,Оригинал,999000.0
24,хэтчбек 5 дв.,чёрный,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,56000.0,задний,Левый,3 или более,Дубликат,1115000.0
25,хэтчбек 5 дв.,чёрный,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,93523.0,задний,Левый,2владельца,Дубликат,590000.0
26,хэтчбек 5 дв.,красный,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,116000.0,задний,Левый,3 или более,Оригинал,750000.0
27,хэтчбек 5 дв.,синий,дизель,2017,5,2017,автоматическая,2.0 LTR,190 N12,85275.0,полный,Левый,2владельца,Оригинал,1987000.0
28,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,118000.0,задний,Левый,2владельца,Оригинал,790000.0
29,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,34377.0,задний,Левый,3 или более,Оригинал,1180000.0
30,хэтчбек 5 дв.,белый,бензин,2011,5,2011,автоматическая,1.6 LTR,136 N12,176069.0,задний,Левый,3 или более,Дубликат,770000.0
31,хэтчбек 5 дв.,серебристый,дизель,2011,5,2011,автоматическая,2.0 LTR,184 N12,155650.0,задний,Левый,2владельца,Оригинал,1197000.0
