,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,чёрный,бензин,2018,4,2018,автоматическая,1.6 LTR,150 N12,49000,задний,Левый,1владелец,Оригинал,2249000
1,седан,синий,бензин,2018,4,2019,автоматическая,1.6 LTR,150 N12,4800,задний,Левый,1владелец,Оригинал,2560000
2,купе,белый,бензин,2011,2,2013,автоматическая,1.6 LTR,156 N12,92000,задний,Левый,1владелец,Оригинал,1255000
3,седан,белый,бензин,2011,4,2012,автоматическая,1.8 LTR,184 N12,177000,задний,Левый,3 или более,Оригинал,899000
4,седан,серый,бензин,2014,4,2017,автоматическая,2.0 LTR,184 N12,42727,полный,Левый,1владелец,Оригинал,2095000
5,седан,чёрный,дизель,2014,4,2018,автоматическая,2.1 LTR,204 N12,86767,полный,Левый,1владелец,Оригинал,2059000
6,седан,серебристый,бензин,2014,4,2016,автоматическая,1.6 LTR,150 N12,85000,задний,Левый,3 или более,Оригинал,1749807
7,седан,чёрный,бензин,2014,4,2014,автоматическая,1.6 LTR,156 N12,78230,задний,Левый,3 или более,Оригинал,1559000
8,седан,белый,бензин,2011,4,2013,автоматическая,1.8 LTR,204 N12,107000,задний,Левый,1владелец,Оригинал,1000000
9,седан,белый,бензин,2011,4,2012,автоматическая,1.8 LTR,156 N12,129636,задний,Левый,2владельца,Оригинал,879000
10,седан,серый,бензин,2011,4,2013,автоматическая,1.8 LTR,204 N12,56157,задний,Левый,3 или более,Оригинал,1320000
11,седан,чёрный,бензин,2011,4,2013,автоматическая,1.6 LTR,156 N12,102000,задний,Левый,1владелец,Оригинал,975000
12,седан,коричневый,бензин,2011,4,2012,автоматическая,1.6 LTR,156 N12,150000,задний,Левый,2владельца,Оригинал,800000
13,седан,серебристый,бензин,2011,4,2012,автоматическая,1.6 LTR,156 N12,149000,задний,Левый,1владелец,Оригинал,950000
14,хэтчбек 3 дв.,синий,бензин,2004,2,2005,механическая,1.8 LTR,143 N12,211156,задний,Левый,3 или более,Оригинал,450000
15,седан,белый,бензин,2011,4,2011,автоматическая,1.8 LTR,156 N12,65000,задний,Левый,1владелец,Оригинал,1065000
16,седан,чёрный,бензин,2014,4,2014,автоматическая,1.6 LTR,156 N12,77579,задний,Левый,1владелец,Оригинал,1471000
17,седан,белый,бензин,2014,4,2015,автоматическая,2.0 LTR,184 N12,72220,полный,Левый,1владелец,Оригинал,1699000
18,седан,серый,бензин,2014,4,2016,автоматическая,2.0 LTR,184 N12,48700,полный,Левый,1владелец,Оригинал,2098000
19,седан,белый,бензин,2014,4,2017,автоматическая,1.6 LTR,150 N12,72105,задний,Левый,2владельца,Оригинал,1898000
20,седан,чёрный,бензин,2018,4,2018,автоматическая,1.6 LTR,150 N12,43337,задний,Левый,2владельца,Оригинал,2159000
21,седан,белый,бензин,2014,4,2016,автоматическая,1.6 LTR,150 N12,84052,задний,Левый,3 или более,Оригинал,1843000
22,седан,белый,бензин,2018,4,2019,автоматическая,1.5 LTR,184 N12,5000,полный,Левый,1владелец,Оригинал,
23,седан,красный,бензин,2014,4,2015,автоматическая,2.0 LTR,184 N12,75112,полный,Левый,2владельца,Оригинал,1849000
24,седан,чёрный,бензин,2018,4,2019,автоматическая,1.5 LTR,184 N12,22046,полный,Левый,2владельца,Оригинал,2649000
25,седан,красный,бензин,2011,4,2011,автоматическая,1.8 LTR,156 N12,165175,задний,Левый,2владельца,Оригинал,910000
26,седан,чёрный,бензин,2014,4,2017,автоматическая,1.6 LTR,150 N12,48190,задний,Левый,2владельца,Оригинал,1998000
27,купе,чёрный,бензин,2011,2,2012,автоматическая,1.8 LTR,156 N12,77500,задний,Левый,3 или более,Оригинал,1140000
28,седан,чёрный,бензин,2014,4,2014,автоматическая,1.6 LTR,156 N12,66250,задний,Левый,1владелец,Оригинал,1608000
29,седан,чёрный,бензин,2006,4,2011,автоматическая,1.8 LTR,184 N12,107104,задний,Левый,3 или более,Оригинал,975000
30,седан,белый,бензин,2014,4,2015,автоматическая,2.0 LTR,211 N12,50453,задний,Левый,1владелец,Оригинал,1824000
31,седан,синий,бензин,2018,4,2018,автоматическая,1.5 LTR,184 N12,25205,полный,Левый,2владельца,Оригинал,2551235
32,седан,белый,бензин,2014,4,2017,автоматическая,1.6 LTR,150 N12,36541,задний,Левый,1владелец,Оригинал,1877500
