,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,внедорожник 5 дв.,чёрный,бензин,2012,5,2014,вариатор,2.0 LTR,150 N12,82000,полный,Левый,1владелец,Оригинал,1095000
1,внедорожник 5 дв.,серебристый,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,98000,передний,Левый,2владельца,Оригинал,670000
2,внедорожник 5 дв.,белый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,106000,передний,Левый,1владелец,Оригинал,695000
3,внедорожник 5 дв.,серый,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,152059,передний,Левый,2владельца,Оригинал,599000
4,внедорожник 5 дв.,синий,бензин,2010,5,2012,механическая,1.6 LTR,117 N12,39411,передний,Левый,1владелец,Оригинал,785000
5,внедорожник 5 дв.,серый,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,91123,передний,Левый,1владелец,Оригинал,669000
6,внедорожник 5 дв.,серый,бензин,2010,5,2011,механическая,1.6 LTR,117 N12,106529,передний,Левый,2владельца,Оригинал,665000
7,внедорожник 5 дв.,белый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,114000,передний,Левый,2владельца,Оригинал,725000
8,внедорожник 5 дв.,серый,бензин,2016,5,2018,вариатор,2.0 LTR,150 N12,42562,полный,Левый,1владелец,Оригинал,1520000
9,внедорожник 5 дв.,серебристый,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,117342,передний,Левый,1владелец,Оригинал,695000
10,внедорожник 5 дв.,голубой,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,62604,передний,Левый,1владелец,Оригинал,930000
11,внедорожник 5 дв.,белый,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,97779,передний,Левый,1владелец,Оригинал,949000
12,внедорожник 5 дв.,голубой,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,61857,передний,Левый,3 или более,Оригинал,750000
13,внедорожник 5 дв.,красный,бензин,2012,5,2013,вариатор,2.0 LTR,150 N12,84770,полный,Левый,3 или более,Оригинал,1077000
14,внедорожник 5 дв.,серый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,109040,передний,Левый,1владелец,Оригинал,839000
15,внедорожник 5 дв.,серебристый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,117000,передний,Левый,2владельца,Оригинал,679800
16,внедорожник 5 дв.,белый,бензин,2016,5,2017,вариатор,2.0 LTR,150 N12,49146,полный,Левый,1владелец,Оригинал,1490000
17,внедорожник 5 дв.,серый,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,76650,передний,Левый,1владелец,Оригинал,889000
18,внедорожник 5 дв.,белый,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,88000,передний,Левый,3 или более,Оригинал,718000
19,внедорожник 5 дв.,чёрный,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,125278,передний,Левый,1владелец,Оригинал,749000
20,внедорожник 5 дв.,белый,бензин,2012,5,2015,вариатор,2.0 LTR,150 N12,65555,полный,Левый,1владелец,Оригинал,1172000
21,внедорожник 5 дв.,синий,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,89852,передний,Левый,1владелец,Оригинал,848000
22,внедорожник 5 дв.,серебристый,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,83000,передний,Левый,2владельца,Оригинал,839000
23,внедорожник 5 дв.,серый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,169000,передний,Левый,1владелец,Оригинал,750000
24,внедорожник 5 дв.,красный,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,104000,передний,Левый,1владелец,Оригинал,899000
25,внедорожник 5 дв.,серый,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,49818,передний,Левый,1владелец,Оригинал,897000
26,внедорожник 5 дв.,чёрный,бензин,2010,5,2013,механическая,1.6 LTR,117 N12,86050,передний,Левый,1владелец,Оригинал,785000
27,внедорожник 5 дв.,красный,бензин,2010,5,2010,механическая,1.6 LTR,117 N12,184000,передний,Левый,1владелец,Оригинал,678000
28,внедорожник 5 дв.,голубой,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,105000,передний,Левый,2владельца,Оригинал,719000
29,внедорожник 5 дв.,синий,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,190536,передний,Левый,2владельца,Оригинал,635000
30,внедорожник 5 дв.,серебристый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,53461,передний,Левый,1владелец,Оригинал,849750
31,внедорожник 5 дв.,серебристый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,63350,передний,Левый,1владелец,Оригинал,919000
32,внедорожник 5 дв.,серый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,158872,передний,Левый,2владельца,Оригинал,735000
33,внедорожник 5 дв.,чёрный,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,137219,передний,Левый,1владелец,Оригинал,898000
34,внедорожник 5 дв.,красный,бензин,2016,5,2017,вариатор,2.0 LTR,150 N12,28624,полный,Левый,3 или более,Оригинал,1475000
35,внедорожник 5 дв.,белый,бензин,2010,5,2012,вариатор,2.0 LTR,150 N12,75583,полный,Левый,1владелец,Оригинал,865000
36,внедорожник 5 дв.,красный,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,161800,передний,Левый,2владельца,Оригинал,999000
37,внедорожник 5 дв.,красный,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,161800,передний,Левый,2владельца,Оригинал,999000
38,внедорожник 5 дв.,белый,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,115500,передний,Левый,1владелец,Оригинал,870000
39,внедорожник 5 дв.,серебристый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,142000,передний,Левый,2владельца,Оригинал,699000
40,внедорожник 5 дв.,красный,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,90666,передний,Левый,1владелец,Оригинал,720000
41,внедорожник 5 дв.,синий,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,49461,передний,Левый,1владелец,Оригинал,967000
42,внедорожник 5 дв.,серебристый,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,69350,передний,Левый,1владелец,Оригинал,868000
43,внедорожник 5 дв.,белый,бензин,2010,5,2013,вариатор,1.8 LTR,140 N12,146000,передний,Левый,3 или более,Оригинал,819000
44,внедорожник 5 дв.,белый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,235000,передний,Левый,1владелец,Оригинал,685000
45,внедорожник 5 дв.,синий,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,68147,передний,Левый,1владелец,Оригинал,897000
46,внедорожник 5 дв.,серебристый,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,169221,передний,Левый,2владельца,Оригинал,618000
47,внедорожник 5 дв.,белый,бензин,2010,5,2011,механическая,1.6 LTR,117 N12,142939,передний,Левый,2владельца,Оригинал,679000
48,внедорожник 5 дв.,серый,бензин,2010,5,2010,механическая,1.6 LTR,117 N12,122047,передний,Левый,1владелец,Оригинал,679000
49,внедорожник 5 дв.,белый,бензин,2016,5,2018,вариатор,2.0 LTR,150 N12,33039,полный,Левый,1владелец,Оригинал,1565000
50,внедорожник 5 дв.,белый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,208400,передний,Левый,2владельца,Оригинал,750000
51,внедорожник 5 дв.,голубой,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,92000,передний,Левый,3 или более,Оригинал,869000
52,внедорожник 5 дв.,белый,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,142051,передний,Левый,3 или более,Оригинал,718000
53,внедорожник 5 дв.,чёрный,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,205000,передний,Левый,1владелец,Оригинал,780000
54,внедорожник 5 дв.,красный,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,7314,передний,Левый,1владелец,Оригинал,949000
55,внедорожник 5 дв.,белый,бензин,2010,5,2012,вариатор,1.8 LTR,140 N12,183366,передний,Левый,2владельца,Оригинал,657000
56,внедорожник 5 дв.,чёрный,бензин,2016,5,2018,вариатор,2.0 LTR,150 N12,52136,полный,Левый,2владельца,Оригинал,1449000
57,внедорожник 5 дв.,серебристый,бензин,2012,5,2014,механическая,1.6 LTR,117 N12,79420,передний,Левый,2владельца,Оригинал,748000
58,внедорожник 5 дв.,чёрный,бензин,2016,5,2018,вариатор,2.0 LTR,150 N12,23281,полный,Левый,1владелец,Оригинал,1410000
59,внедорожник 5 дв.,чёрный,бензин,2016,5,2017,механическая,1.6 LTR,117 N12,70000,передний,Левый,1владелец,Оригинал,1000000
60,внедорожник 5 дв.,белый,бензин,2012,5,2013,вариатор,2.0 LTR,150 N12,90000,полный,Левый,3 или более,Дубликат,749999
61,внедорожник 5 дв.,чёрный,бензин,2012,5,2013,вариатор,1.8 LTR,140 N12,117000,передний,Левый,1владелец,Оригинал,799000
62,внедорожник 5 дв.,белый,бензин,2012,5,2012,механическая,1.6 LTR,117 N12,109000,передний,Левый,1владелец,Оригинал,730000
63,внедорожник 5 дв.,серебристый,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,98000,передний,Левый,2владельца,Оригинал,670000
64,внедорожник 5 дв.,красный,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,62500,передний,Левый,2владельца,Оригинал,950000
65,внедорожник 5 дв.,белый,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,86192,передний,Левый,1владелец,Оригинал,914000
66,внедорожник 5 дв.,синий,бензин,2010,5,2010,механическая,1.6 LTR,117 N12,144200,передний,Левый,1владелец,Оригинал,570000
67,внедорожник 5 дв.,белый,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,54564,передний,Левый,1владелец,Оригинал,1029000
68,внедорожник 5 дв.,серебристый,бензин,2012,5,2015,вариатор,1.8 LTR,140 N12,114000,передний,Левый,1владелец,Оригинал,859000
69,внедорожник 5 дв.,коричневый,бензин,2010,5,2010,вариатор,1.8 LTR,140 N12,170000,передний,Левый,3 или более,Оригинал,580000
70,внедорожник 5 дв.,серый,бензин,2012,5,2014,механическая,1.6 LTR,117 N12,32180,передний,Левый,1владелец,Оригинал,859000
71,внедорожник 5 дв.,серый,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,73550,передний,Левый,1владелец,Оригинал,855000
72,внедорожник 5 дв.,чёрный,бензин,2012,5,2014,механическая,1.6 LTR,117 N12,42000,передний,Левый,1владелец,Оригинал,819000
73,внедорожник 5 дв.,белый,бензин,2012,5,2014,механическая,1.6 LTR,117 N12,265136,передний,Левый,2владельца,Оригинал,689000
74,внедорожник 5 дв.,серый,бензин,2012,5,2014,вариатор,2.0 LTR,150 N12,57000,полный,Левый,1владелец,Оригинал,1085000
75,внедорожник 5 дв.,белый,бензин,2010,5,2011,вариатор,1.8 LTR,140 N12,110000,передний,Левый,2владельца,Оригинал,699000
76,внедорожник 5 дв.,белый,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,153000,передний,Левый,2владельца,Оригинал,895000
77,внедорожник 5 дв.,синий,бензин,2016,5,2018,вариатор,2.0 LTR,150 N12,12900,полный,Левый,1владелец,Оригинал,1550000
78,внедорожник 5 дв.,белый,бензин,2010,5,2013,механическая,1.6 LTR,117 N12,114000,передний,Левый,2владельца,Оригинал,700000
79,внедорожник 5 дв.,серый,бензин,2012,5,2013,механическая,1.6 LTR,117 N12,103000,передний,Левый,2владельца,Оригинал,735000
80,внедорожник 5 дв.,чёрный,бензин,2012,5,2014,вариатор,2.0 LTR,150 N12,135000,полный,Левый,2владельца,Оригинал,934000
81,внедорожник 5 дв.,серебристый,бензин,2012,5,2014,вариатор,1.8 LTR,140 N12,80614,передний,Левый,1владелец,Оригинал,875000
82,внедорожник 5 дв.,белый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,69900,передний,Левый,1владелец,Оригинал,850000
83,внедорожник 5 дв.,серый,бензин,2012,5,2012,вариатор,1.8 LTR,140 N12,55320,передний,Левый,1владелец,Оригинал,860000
