,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,белый,бензин,2012,4,2017,механическая,1.6 LTR,102 N12,93350,передний,Левый,1владелец,Оригинал,475000
1,седан,чёрный,бензин,2012,4,2016,механическая,1.6 LTR,102 N12,112000,передний,Левый,3 или более,Оригинал,450000
2,седан,чёрный,бензин,2012,4,2017,механическая,1.6 LTR,102 N12,17000,передний,Левый,1владелец,Оригинал,585000
3,седан,чёрный,бензин,2012,4,2018,механическая,1.6 LTR,102 N12,44715,передний,Левый,1владелец,Оригинал,629000
4,седан,серебристый,бензин,2002,4,2005,механическая,1.5 LTR,98 N12,307830,передний,Левый,3 или более,Дубликат,189000
5,седан,пурпурный,бензин,2000,4,2000,механическая,1.5 LTR,90 N12,467000,передний,Левый,2владельца,Оригинал,
6,седан,серебристый,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,186000,передний,Левый,1владелец,Оригинал,349000
7,седан,чёрный,бензин,2012,4,2018,механическая,1.6 LTR,102 N12,90482,передний,Левый,2владельца,Оригинал,520000
8,седан,белый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,69279,передний,Левый,1владелец,Оригинал,490000
9,седан,серебристый,бензин,2012,4,2012,автоматическая,1.6 LTR,102 N12,184000,передний,Левый,3 или более,Оригинал,380000
10,седан,синий,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,91000,передний,Левый,1владелец,Оригинал,449750
11,седан,белый,бензин,2012,4,2018,автоматическая,1.6 LTR,102 N12,57716,передний,Левый,1владелец,Оригинал,645000
12,седан,голубой,бензин,2002,4,2005,механическая,1.5 LTR,98 N12,274324,передний,Левый,3 или более,Оригинал,229000
13,седан,серебристый,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,67300,передний,Левый,1владелец,Оригинал,563000
14,седан,чёрный,бензин,2012,4,2013,автоматическая,1.6 LTR,102 N12,42167,передний,Левый,1владелец,Оригинал,575000
15,седан,синий,бензин,2000,4,2001,механическая,1.8 LTR,114 N12,270379,передний,Левый,3 или более,Оригинал,140000
16,седан,серебристый,бензин,2002,4,2005,автоматическая,1.8 LTR,116 N12,126853,передний,Левый,2владельца,Оригинал,255000
17,седан,чёрный,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,89000,передний,Левый,2владельца,Оригинал,449000
18,седан,белый,бензин,2012,4,2017,механическая,1.6 LTR,102 N12,46434,передний,Левый,1владелец,Оригинал,640000
19,седан,чёрный,бензин,2002,4,2005,механическая,1.5 LTR,98 N12,135000,передний,Левый,3 или более,Дубликат,250000
20,хэтчбек 3 дв.,серебристый,бензин,2002,3,2004,механическая,1.5 LTR,98 N12,151000,передний,Левый,2владельца,Оригинал,190000
21,седан,красный,бензин,2000,4,2001,механическая,1.5 LTR,90 N12,276048,передний,Левый,1владелец,Оригинал,210000
22,седан,синий,бензин,2002,4,2005,механическая,1.5 LTR,98 N12,21400,передний,Левый,1владелец,Оригинал,430000
23,седан,серый,бензин,2012,4,2015,механическая,1.6 LTR,102 N12,130850,передний,Правый,3 или более,Оригинал,366000
24,седан,белый,бензин,2012,4,2018,механическая,1.6 LTR,102 N12,36000,передний,Левый,1владелец,Оригинал,625000
25,седан,белый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,110000,передний,Левый,1владелец,Оригинал,420000
26,седан,синий,бензин,2012,4,2013,автоматическая,1.6 LTR,102 N12,82000,передний,Левый,1владелец,Оригинал,509000
27,седан,серебристый,бензин,2002,4,2003,механическая,1.5 LTR,98 N12,271000,передний,Левый,2владельца,Дубликат,170000
28,седан,чёрный,бензин,2002,4,2006,автоматическая,1.8 LTR,116 N12,173806,передний,Левый,3 или более,Оригинал,165000
29,седан,белый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,37169,передний,Левый,1владелец,Оригинал,555000
30,седан,серебристый,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,150251,передний,Левый,1владелец,Оригинал,499000
31,седан,красный,бензин,2012,4,2013,автоматическая,1.6 LTR,102 N12,42588,передний,Левый,2владельца,Оригинал,467000
32,седан,синий,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,80307,передний,Левый,1владелец,Оригинал,509000
33,седан,бежевый,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,105000,передний,Левый,1владелец,Оригинал,510000
34,седан,бежевый,бензин,2012,4,2018,автоматическая,1.6 LTR,102 N12,43742,передний,Левый,1владелец,Оригинал,665000
35,седан,синий,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,51626,передний,Левый,1владелец,Оригинал,535000
36,седан,серый,бензин,2002,4,2005,автоматическая,1.8 LTR,116 N12,162000,передний,Левый,3 или более,Дубликат,230000
37,седан,чёрный,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,103000,передний,Левый,1владелец,Оригинал,530000
38,седан,чёрный,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,103000,передний,Левый,1владелец,Оригинал,530000
39,седан,чёрный,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,155000,передний,Левый,2владельца,Оригинал,365000
40,седан,чёрный,бензин,2012,4,2017,автоматическая,1.6 LTR,102 N12,57150,передний,Левый,2владельца,Оригинал,585000
41,седан,серый,бензин,2000,4,2002,механическая,1.5 LTR,90 N12,285000,передний,Левый,3 или более,Дубликат,139000
42,седан,серый,бензин,2002,4,2005,автоматическая,1.8 LTR,116 N12,167000,передний,Левый,2владельца,Оригинал,270000
43,седан,серебристый,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,73792,передний,Левый,1владелец,Оригинал,549000
44,седан,белый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,190000,передний,Левый,3 или более,Оригинал,300000
45,седан,чёрный,бензин,2012,4,2017,автоматическая,1.6 LTR,102 N12,85180,передний,Левый,1владелец,Оригинал,599000
46,седан,синий,бензин,2012,4,2014,автоматическая,1.6 LTR,102 N12,185917,передний,Левый,1владелец,Оригинал,425000
47,седан,пурпурный,бензин,2000,4,2001,механическая,1.5 LTR,90 N12,230000,передний,Левый,3 или более,Дубликат,150000
48,седан,серебристый,бензин,2002,4,2005,механическая,1.5 LTR,98 N12,159680,передний,Левый,3 или более,Дубликат,219000
49,седан,белый,бензин,2012,4,2017,автоматическая,1.6 LTR,102 N12,76000,передний,Левый,1владелец,Оригинал,657000
50,седан,белый,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,197000,передний,Левый,1владелец,Оригинал,450000
51,седан,чёрный,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,51811,передний,Левый,3 или более,Оригинал,450000
52,седан,белый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,399000,передний,Левый,3 или более,Оригинал,315000
53,седан,чёрный,бензин,2002,4,2004,механическая,1.8 LTR,116 N12,255555,передний,Левый,3 или более,Оригинал,198000
54,седан,серебристый,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,148000,передний,Левый,3 или более,Оригинал,388000
55,седан,серебристый,бензин,2002,4,2006,механическая,1.8 LTR,116 N12,180000,передний,Левый,3 или более,Оригинал,220000
56,седан,жёлтый,бензин,2012,4,2016,механическая,1.6 LTR,102 N12,115000,передний,Левый,1владелец,Оригинал,220000
57,седан,белый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,165000,передний,Левый,2владельца,Оригинал,300000
58,седан,серый,бензин,2002,4,2004,механическая,1.5 LTR,98 N12,259365,передний,Левый,2владельца,Оригинал,160000
59,хэтчбек 5 дв.,серебристый,бензин,2002,5,2003,механическая,1.5 LTR,98 N12,187000,передний,Левый,3 или более,Оригинал,165000
60,седан,чёрный,бензин,2012,4,2015,автоматическая,1.6 LTR,102 N12,143000,передний,Левый,2владельца,Оригинал,325000
