,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,хэтчбек 5 дв.,красный,бензин,2010,5,2014,механическая,1.2 LTR,70 N12,137000,передний,Левый,1владелец,Оригинал,335000
1,хэтчбек 5 дв.,красный,бензин,2004,5,2006,автоматическая,1.4 LTR,75 N12,250000,передний,Левый,3 или более,Оригинал,205000
2,хэтчбек 5 дв.,белый,бензин,2007,5,2010,механическая,1.4 LTR,86 N12,150077,передний,Левый,2владельца,Оригинал,300000
3,хэтчбек 5 дв.,синий,бензин,2010,5,2013,механическая,1.6 LTR,105 N12,68223,передний,Левый,1владелец,Оригинал,499000
4,хэтчбек 5 дв.,пурпурный,бензин,2007,5,2009,механическая,1.2 LTR,70 N12,86165,передний,Левый,1владелец,Оригинал,298000
5,хэтчбек 5 дв.,серебристый,бензин,2010,5,2014,автоматическая,1.6 LTR,105 N12,128436,передний,Левый,1владелец,Оригинал,540000
6,хэтчбек 5 дв.,оранжевый,бензин,2007,5,2007,автоматическая,1.6 LTR,105 N12,163500,передний,Левый,2владельца,Оригинал,399000
7,хэтчбек 5 дв.,белый,бензин,2010,5,2012,автоматическая,1.6 LTR,105 N12,158357,передний,Левый,2владельца,Оригинал,476000
8,универсал 5 дв.,чёрный,бензин,2010,5,2011,механическая,1.6 LTR,105 N12,140607,передний,Левый,1владелец,Оригинал,445000
9,хэтчбек 5 дв.,серый,бензин,2010,5,2011,автоматическая,1.6 LTR,105 N12,113186,передний,Левый,1владелец,Оригинал,484000
10,хэтчбек 5 дв.,серебристый,бензин,2010,5,2013,механическая,1.4 LTR,86 N12,65430,передний,Левый,2владельца,Оригинал,544000
11,универсал 5 дв.,серый,бензин,2010,5,2011,автоматическая,1.6 LTR,105 N12,112086,передний,Левый,1владелец,Оригинал,534000
12,хэтчбек 5 дв.,серебристый,бензин,2010,5,2011,механическая,1.2 LTR,70 N12,69872,передний,Левый,2владельца,Оригинал,439000
13,хэтчбек 5 дв.,синий,бензин,2007,5,2008,механическая,1.6 LTR,105 N12,182131,передний,Левый,1владелец,Оригинал,345000
14,хэтчбек 5 дв.,серый,бензин,2010,5,2012,механическая,1.4 LTR,86 N12,139500,передний,Левый,2владельца,Оригинал,405000
15,универсал 5 дв.,серебристый,бензин,2004,5,2007,механическая,1.2 LTR,64 N12,157000,передний,Левый,1владелец,Оригинал,244000
16,хэтчбек 5 дв.,пурпурный,бензин,2010,5,2011,механическая,1.2 LTR,70 N12,57800,передний,Левый,3 или более,Оригинал,420000
17,хэтчбек 5 дв.,синий,бензин,2010,5,2010,автоматическая,1.6 LTR,105 N12,172229,передний,Левый,2владельца,Оригинал,499000
18,хэтчбек 5 дв.,серый,бензин,2007,5,2009,механическая,1.2 LTR,70 N12,219000,передний,Левый,3 или более,Оригинал,223000
19,универсал 5 дв.,красный,бензин,2007,5,2008,механическая,1.4 LTR,86 N12,367343,передний,Левый,3 или более,Оригинал,300000
20,хэтчбек 5 дв.,зелёный,бензин,2010,5,2012,механическая,1.4 LTR,86 N12,137123,передний,Левый,1владелец,Оригинал,445000
21,хэтчбек 5 дв.,белый,бензин,2010,5,2013,механическая,1.2 LTR,70 N12,60978,передний,Левый,1владелец,Оригинал,389000
22,хэтчбек 5 дв.,красный,бензин,2010,5,2012,механическая,1.2 LTR,70 N12,121688,передний,Левый,2владельца,Оригинал,369000
23,универсал 5 дв.,синий,бензин,1999,5,2001,механическая,1.4 LTR,68 N12,234389,передний,Левый,3 или более,Оригинал,149000
24,хэтчбек 5 дв.,синий,бензин,2010,5,2012,механическая,1.4 LTR,86 N12,76899,передний,Левый,1владелец,Оригинал,435000
25,хэтчбек 5 дв.,синий,бензин,2010,5,2011,механическая,1.2 LTR,70 N12,159661,передний,Левый,1владелец,Оригинал,335000
26,хэтчбек 5 дв.,красный,бензин,2010,5,2010,механическая,1.4 LTR,86 N12,260544,передний,Левый,2владельца,Оригинал,279000
27,хэтчбек 5 дв.,жёлтый,бензин,2010,5,2013,автоматическая,1.6 LTR,105 N12,45748,передний,Левый,3 или более,Оригинал,539000
28,универсал 5 дв.,красный,бензин,2010,5,2014,механическая,1.4 LTR,86 N12,18224,передний,Левый,3 или более,Оригинал,549000
29,хэтчбек 5 дв.,синий,бензин,2010,5,2011,механическая,1.2 LTR,70 N12,160000,передний,Левый,1владелец,Оригинал,355000
30,хэтчбек 5 дв.,зелёный,бензин,2010,5,2011,механическая,1.2 LTR,70 N12,380000,передний,Левый,2владельца,Оригинал,255000
31,хэтчбек 5 дв.,белый,бензин,2010,5,2013,автоматическая,1.6 LTR,105 N12,110543,передний,Левый,1владелец,Оригинал,547000
32,хэтчбек 5 дв.,жёлтый,бензин,2010,5,2014,механическая,1.4 LTR,86 N12,7000,передний,Левый,1владелец,Оригинал,600000
33,хэтчбек 5 дв.,серебристый,бензин,1999,5,2003,автоматическая,1.4 LTR,75 N12,175000,передний,Левый,3 или более,Оригинал,235000
34,хэтчбек 5 дв.,зелёный,бензин,2010,5,2011,автоматическая,1.6 LTR,105 N12,130981,передний,Левый,1владелец,Оригинал,520000
35,хэтчбек 5 дв.,коричневый,бензин,2007,5,2009,механическая,1.4 LTR,86 N12,164000,передний,Левый,1владелец,Оригинал,329000
36,хэтчбек 5 дв.,красный,бензин,2007,5,2007,механическая,1.2 LTR,70 N12,157800,передний,Левый,2владельца,Оригинал,279000
37,хэтчбек 5 дв.,коричневый,бензин,2007,5,2009,механическая,1.4 LTR,86 N12,164000,передний,Левый,1владелец,Оригинал,329000
38,хэтчбек 5 дв.,красный,бензин,2007,5,2007,механическая,1.2 LTR,70 N12,157800,передний,Левый,2владельца,Оригинал,279000
39,хэтчбек 5 дв.,белый,бензин,2010,5,2014,механическая,1.2 LTR,70 N12,42400,передний,Левый,1владелец,Оригинал,540000
40,хэтчбек 5 дв.,белый,бензин,2007,5,2007,механическая,1.2 LTR,70 N12,134086,передний,Левый,2владельца,Оригинал,200000
41,универсал 5 дв.,серебристый,бензин,2010,5,2010,механическая,1.4 LTR,86 N12,92990,передний,Левый,3 или более,Оригинал,385000
42,хэтчбек 5 дв.,серый,бензин,1999,5,2002,механическая,1.4 LTR,68 N12,127700,передний,Левый,2владельца,Оригинал,239000
43,хэтчбек 5 дв.,красный,бензин,2007,5,2008,автоматическая,1.6 LTR,105 N12,221000,передний,Левый,3 или более,Оригинал,372000
44,универсал 5 дв.,белый,бензин,2007,5,2010,механическая,1.4 LTR,86 N12,179000,передний,Левый,2владельца,Оригинал,320000
45,хэтчбек 5 дв.,белый,бензин,2007,5,2007,механическая,1.2 LTR,70 N12,160000,передний,Левый,3 или более,Оригинал,169000
46,хэтчбек 5 дв.,серый,бензин,2010,5,2012,автоматическая,1.6 LTR,105 N12,125193,передний,Левый,1владелец,Оригинал,559000
47,хэтчбек 5 дв.,синий,бензин,2010,5,2011,автоматическая,1.6 LTR,105 N12,197870,передний,Левый,2владельца,Оригинал,459000
48,хэтчбек 5 дв.,синий,бензин,2010,5,2012,механическая,1.2 LTR,70 N12,206232,передний,Левый,1владелец,Оригинал,379000
49,хэтчбек 5 дв.,синий,бензин,2010,5,2012,механическая,1.4 LTR,86 N12,323000,передний,Левый,2владельца,Оригинал,369000
50,хэтчбек 5 дв.,бежевый,бензин,2010,5,2014,автоматическая,1.6 LTR,105 N12,160798,передний,Левый,1владелец,Оригинал,519000
51,хэтчбек 5 дв.,фиолетовый,бензин,2010,5,2011,автоматическая,1.6 LTR,105 N12,107000,передний,Левый,1владелец,Оригинал,505000
52,хэтчбек 5 дв.,бежевый,бензин,2010,5,2013,автоматическая,1.6 LTR,105 N12,82654,передний,Левый,1владелец,Оригинал,549000
53,хэтчбек 5 дв.,белый,бензин,2010,5,2011,механическая,1.2 LTR,70 N12,66000,передний,Левый,3 или более,Дубликат,235000
54,хэтчбек 5 дв.,чёрный,бензин,2007,5,2008,механическая,1.4 LTR,86 N12,168000,передний,Левый,2владельца,Оригинал,335000
55,хэтчбек 5 дв.,серебристый,бензин,2010,5,2010,механическая,1.2 LTR,70 N12,147841,передний,Левый,3 или более,Оригинал,399000
56,хэтчбек 5 дв.,бежевый,бензин,2010,5,2014,механическая,1.2 LTR,70 N12,79000,передний,Левый,2владельца,Оригинал,345000
57,хэтчбек 5 дв.,серый,бензин,2010,5,2014,механическая,1.6 LTR,105 N12,50723,передний,Левый,1владелец,Оригинал,550000
58,хэтчбек 5 дв.,синий,бензин,2007,5,2008,механическая,1.4 LTR,86 N12,80200,передний,Левый,2владельца,Оригинал,335000
59,хэтчбек 5 дв.,синий,бензин,2007,5,2007,автоматическая,1.6 LTR,105 N12,132812,передний,Левый,3 или более,Оригинал,350000
60,хэтчбек 5 дв.,белый,бензин,2010,5,2014,механическая,1.6 LTR,105 N12,206130,передний,Левый,1владелец,Оригинал,479000
61,хэтчбек 5 дв.,красный,бензин,2010,5,2014,механическая,1.4 LTR,86 N12,125000,передний,Левый,2владельца,Оригинал,399000
62,универсал 5 дв.,серый,бензин,2004,5,2006,механическая,1.4 LTR,75 N12,236000,передний,Левый,3 или более,Дубликат,240000
63,универсал 5 дв.,серебристый,бензин,1999,5,2002,автоматическая,1.4 LTR,75 N12,163492,передний,Левый,3 или более,Дубликат,230000
64,хэтчбек 5 дв.,чёрный,бензин,2007,5,2009,механическая,1.2 LTR,70 N12,132000,передний,Левый,1владелец,Оригинал,300000
65,седан,серебристый,бензин,1999,4,2002,механическая,1.4 LTR,68 N12,284000,передний,Левый,3 или более,Оригинал,130000
66,хэтчбек 5 дв.,голубой,бензин,2007,5,2009,механическая,1.4 LTR,86 N12,230000,передний,Левый,2владельца,Оригинал,280000
67,хэтчбек 5 дв.,красный,бензин,2007,5,2010,автоматическая,1.6 LTR,105 N12,211000,передний,Левый,1владелец,Оригинал,375000
68,хэтчбек 5 дв.,белый,бензин,2010,5,2013,механическая,1.2 LTR,70 N12,104000,передний,Левый,1владелец,Оригинал,365000
69,универсал 5 дв.,красный,бензин,2004,5,2006,механическая,1.4 LTR,75 N12,245237,передний,Левый,3 или более,Оригинал,278000
70,хэтчбек 5 дв.,белый,бензин,2010,5,2013,механическая,1.2 LTR,70 N12,68354,передний,Левый,1владелец,Оригинал,432000
71,хэтчбек 5 дв.,белый,бензин,1999,5,2001,механическая,1.4 LTR,68 N12,270532,передний,Левый,3 или более,Дубликат,139000
72,хэтчбек 5 дв.,синий,бензин,2010,5,2012,механическая,1.4 LTR,86 N12,128000,передний,Левый,3 или более,Оригинал,370000
73,хэтчбек 5 дв.,пурпурный,бензин,2007,5,2009,автоматическая,1.6 LTR,105 N12,140310,передний,Левый,1владелец,Оригинал,399000
74,универсал 5 дв.,серый,бензин,2010,5,2012,автоматическая,1.6 LTR,105 N12,113300,передний,Левый,3 или более,Оригинал,540000
75,хэтчбек 5 дв.,серый,бензин,2007,5,2009,механическая,1.4 LTR,86 N12,126000,передний,Левый,2владельца,Оригинал,360000
