,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,белый,бензин,2017,4,2019,автоматическая,2.5 LTR,181 N12,46000,передний,Левый,1владелец,Оригинал,2200000
1,седан,чёрный,бензин,2017,4,2017,автоматическая,2.5 LTR,181 N12,26500,передний,Левый,1владелец,Оригинал,1720000
2,седан,чёрный,бензин,2006,4,2008,автоматическая,3.5 LTR,277 N12,240000,передний,Левый,3 или более,Оригинал,650000
3,седан,белый,бензин,2014,4,2015,автоматическая,2.0 LTR,150 N12,139000,передний,Левый,2владельца,Оригинал,1150000
4,седан,чёрный,бензин,2014,4,2017,автоматическая,2.5 LTR,181 N12,115105,передний,Левый,1владелец,Оригинал,1450000
5,седан,чёрный,бензин,2017,4,2019,автоматическая,3.5 LTR,249 N12,54500,передний,Левый,2владельца,Оригинал,
6,седан,белый,бензин,2014,4,2015,автоматическая,2.5 LTR,181 N12,88000,передний,Левый,2владельца,Оригинал,1329000
7,седан,чёрный,бензин,2014,4,2016,автоматическая,2.5 LTR,181 N12,58000,передний,Левый,1владелец,Оригинал,1595000
8,седан,серый,бензин,2006,4,2008,автоматическая,2.4 LTR,167 N12,146000,передний,Левый,3 или более,Оригинал,730000
9,седан,серебристый,бензин,2014,4,2015,автоматическая,2.5 LTR,181 N12,82194,передний,Левый,2владельца,Оригинал,1380000
10,седан,чёрный,бензин,2011,4,2013,автоматическая,2.5 LTR,181 N12,187581,передний,Левый,1владелец,Оригинал,1059000
11,седан,чёрный,бензин,2017,4,2018,автоматическая,3.5 LTR,249 N12,38100,передний,Левый,1владелец,Оригинал,2188000
12,седан,серебристый,бензин,2011,4,2011,автоматическая,2.5 LTR,181 N12,145282,передний,Левый,2владельца,Оригинал,968000
13,седан,серый,бензин,2001,4,2003,механическая,2.4 LTR,152 N12,331603,передний,Левый,3 или более,Оригинал,425000
14,седан,серебристый,бензин,2009,4,2010,автоматическая,2.4 LTR,167 N12,162800,передний,Левый,2владельца,Оригинал,855000
15,седан,чёрный,бензин,2006,4,2006,автоматическая,2.4 LTR,167 N12,251631,передний,Левый,2владельца,Оригинал,620000
16,седан,серебристый,бензин,2006,4,2006,автоматическая,2.4 LTR,167 N12,179224,передний,Левый,2владельца,Оригинал,695000
17,седан,чёрный,бензин,2011,4,2013,автоматическая,2.5 LTR,181 N12,159910,передний,Левый,3 или более,Оригинал,1149000
18,седан,чёрный,бензин,2006,4,2008,автоматическая,2.4 LTR,167 N12,245000,передний,Левый,1владелец,Оригинал,780000
19,седан,бежевый,бензин,2006,4,2008,автоматическая,2.4 LTR,167 N12,207902,передний,Левый,2владельца,Оригинал,677000
20,седан,белый,бензин,2017,4,2020,автоматическая,2.5 LTR,181 N12,24000,передний,Левый,1владелец,Оригинал,1950000
21,седан,чёрный,бензин,2014,4,2017,автоматическая,2.5 LTR,181 N12,120690,передний,Левый,2владельца,Оригинал,1569000
22,седан,чёрный,бензин,2017,4,2020,автоматическая,2.5 LTR,181 N12,14185,передний,Левый,1владелец,Оригинал,2049000
23,седан,чёрный,бензин,2017,4,2019,автоматическая,3.5 LTR,249 N12,65000,передний,Левый,2владельца,Оригинал,2460000
24,седан,чёрный,бензин,2017,4,2017,автоматическая,2.5 LTR,181 N12,64001,передний,Левый,1владелец,Оригинал,1710000
25,седан,серебристый,бензин,2011,4,2013,автоматическая,2.5 LTR,181 N12,111000,передний,Левый,3 или более,Оригинал,1189000
26,седан,серый,бензин,2014,4,2015,автоматическая,2.5 LTR,181 N12,108958,передний,Левый,1владелец,Оригинал,1435000
27,седан,чёрный,бензин,2014,4,2015,автоматическая,2.0 LTR,150 N12,153000,передний,Левый,2владельца,Оригинал,1249000
28,седан,серебристый,бензин,2006,4,2008,автоматическая,2.4 LTR,167 N12,225000,передний,Левый,3 или более,Оригинал,719000
29,седан,чёрный,бензин,2017,4,2018,автоматическая,2.5 LTR,181 N12,22754,передний,Левый,1владелец,Оригинал,2036000
30,седан,чёрный,бензин,2017,4,2017,автоматическая,2.5 LTR,181 N12,173000,передний,Левый,1владелец,Оригинал,1460000
31,седан,серый,бензин,2014,4,2015,автоматическая,2.5 LTR,181 N12,78349,передний,Левый,1владелец,Оригинал,1538000
32,седан,серый,бензин,2011,4,2013,автоматическая,2.5 LTR,181 N12,255649,передний,Левый,2владельца,Оригинал,1062000
