,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,компактвэн,белый,бензин,2015,4,2017,механическая,1.6 LTR,110 N12,115000,передний,Левый,3 или более,Оригинал,1200000
1,компактвэн,красный,бензин,2010,4,2011,механическая,1.2 LTR,105 N12,152000,передний,Левый,3 или более,Оригинал,530000
2,компактвэн,коричневый,бензин,2010,4,2011,механическая,1.2 LTR,105 N12,137115,передний,Левый,3 или более,Оригинал,695000
3,компактвэн,чёрный,дизель,2010,4,2011,роботизированная,1.6 LTR,102 N12,146567,передний,Левый,2владельца,Оригинал,760000
4,компактвэн,серебристый,дизель,2010,4,2011,механическая,1.6 LTR,102 N12,139941,передний,Левый,1владелец,Оригинал,750000
5,компактвэн,коричневый,бензин,2010,4,2012,механическая,1.2 LTR,86 N12,117120,передний,Левый,3 или более,Оригинал,585000
6,компактвэн,зелёный,бензин,2004,5,2010,механическая,1.6 LTR,102 N12,138000,передний,Левый,3 или более,Оригинал,619000
7,компактвэн,серебристый,бензин,2010,4,2013,механическая,1.2 LTR,105 N12,106203,передний,Левый,2владельца,Оригинал,660000
8,компактвэн,коричневый,бензин,2010,4,2012,механическая,1.2 LTR,105 N12,119000,передний,Левый,1владелец,Оригинал,769000
9,компактвэн,синий,бензин,2010,4,2014,механическая,1.2 LTR,86 N12,77000,передний,Левый,2владельца,Оригинал,518000
10,компактвэн,серый,бензин,2010,4,2012,механическая,1.2 LTR,86 N12,112000,передний,Левый,2владельца,Оригинал,540000
11,компактвэн,красный,бензин,2010,4,2013,механическая,1.2 LTR,105 N12,147000,передний,Левый,2владельца,Оригинал,759000
12,компактвэн,белый,бензин,2010,4,2011,механическая,1.2 LTR,105 N12,150000,передний,Левый,3 или более,Оригинал,420000
13,компактвэн,белый,бензин,2010,4,2013,механическая,1.2 LTR,105 N12,112000,передний,Левый,1владелец,Оригинал,699000
14,компактвэн,белый,бензин,2015,4,2016,механическая,1.6 LTR,110 N12,72577,передний,Левый,1владелец,Оригинал,887000
15,компактвэн,белый,бензин,2010,4,2011,механическая,1.2 LTR,105 N12,192377,передний,Левый,2владельца,Оригинал,637000
16,компактвэн,белый,бензин,2010,4,2012,механическая,1.2 LTR,105 N12,145710,передний,Левый,2владельца,Оригинал,750000
17,компактвэн,серебристый,дизель,2010,4,2013,роботизированная,1.6 LTR,102 N12,151087,передний,Левый,3 или более,Оригинал,887000
18,компактвэн,коричневый,дизель,2010,4,2011,механическая,2.0 LTR,110 N12,115215,передний,Левый,1владелец,Оригинал,645000
19,компактвэн,коричневый,бензин,2010,4,2012,механическая,1.2 LTR,105 N12,139245,передний,Левый,3 или более,Оригинал,575000
20,компактвэн,серый,бензин,2015,4,2017,механическая,1.6 LTR,110 N12,123600,передний,Левый,1владелец,Оригинал,1075000
21,компактвэн,серый,бензин,2010,4,2011,механическая,1.2 LTR,86 N12,129786,передний,Левый,3 или более,Оригинал,525000
22,компактвэн,белый,бензин,2010,4,2013,механическая,1.2 LTR,105 N12,127254,передний,Левый,3 или более,Оригинал,790000
23,компактвэн,коричневый,дизель,2010,4,2014,механическая,2.0 LTR,110 N12,117231,передний,Левый,2владельца,Оригинал,787000
24,компактвэн,пурпурный,бензин,2010,4,2010,механическая,1.2 LTR,105 N12,254274,передний,Левый,3 или более,Оригинал,499000
25,компактвэн,белый,бензин,2015,4,2018,механическая,1.6 LTR,110 N12,97000,передний,Левый,2владельца,Оригинал,1410000
26,компактвэн,чёрный,дизель,2010,4,2013,механическая,2.0 LTR,110 N12,185000,передний,Левый,1владелец,Оригинал,680000
27,компактвэн,белый,бензин,2015,4,2020,механическая,1.6 LTR,110 N12,4100,передний,Левый,1владелец,Оригинал,1530000
28,компактвэн,белый,бензин,2015,4,2016,механическая,1.6 LTR,110 N12,111840,передний,Левый,1владелец,Оригинал,830000
