,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,серый,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,249371,передний,Левый,2владельца,Оригинал,510000
1,седан,зелёный,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,159734,передний,Левый,3 или более,Дубликат,519000
2,седан,серый,бензин,2004,4,2007,автоматическая,2.4 LTR,140 N12,115000,передний,Левый,3 или более,Оригинал,425000
3,седан,чёрный,дизель,2007,4,2010,механическая,1.6 LTR,109 N12,184000,передний,Левый,2владельца,Оригинал,600000
4,седан,чёрный,бензин,2004,4,2006,автоматическая,2.4 LTR,170 N12,200000,передний,Левый,3 или более,Дубликат,370000
5,седан,красный,бензин,2007,4,2008,механическая,1.8 LTR,125 N12,267516,передний,Левый,3 или более,Дубликат,412000
6,седан,синий,бензин,2007,4,2007,автоматическая,2.4 LTR,140 N12,178000,передний,Левый,2владельца,Оригинал,495000
7,седан,золотистый,бензин,1999,4,2003,механическая,1.8 LTR,122 N12,245680,передний,Левый,3 или более,Оригинал,235000
8,седан,белый,бензин,2007,4,2012,роботизированная,2.0 LTR,145 N12,118000,передний,Левый,3 или более,Оригинал,570000
9,седан,серебристый,бензин,2004,4,2005,автоматическая,2.4 LTR,140 N12,148750,передний,Левый,3 или более,Оригинал,310000
10,седан,синий,бензин,2007,4,2012,роботизированная,2.0 LTR,145 N12,75000,передний,Левый,3 или более,Дубликат,466000
11,седан,голубой,бензин,2004,4,2004,механическая,2.4 LTR,170 N12,188063,передний,Левый,3 или более,Оригинал,239000
12,седан,чёрный,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,145762,передний,Левый,2владельца,Оригинал,525000
13,седан,чёрный,бензин,2007,4,2012,роботизированная,2.0 LTR,145 N12,127202,передний,Левый,3 или более,Оригинал,540000
14,седан,золотистый,бензин,2007,4,2007,автоматическая,2.4 LTR,140 N12,200000,передний,Левый,3 или более,Дубликат,330000
15,седан,серебристый,бензин,2007,4,2007,механическая,1.6 LTR,100 N12,275000,передний,Левый,2владельца,Оригинал,340000
16,седан,чёрный,бензин,2007,4,2008,механическая,1.6 LTR,100 N12,191000,передний,Левый,3 или более,Оригинал,410000
17,седан,синий,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,162000,передний,Левый,3 или более,Оригинал,500000
18,седан,чёрный,бензин,2007,4,2011,механическая,1.6 LTR,100 N12,175000,передний,Левый,3 или более,Оригинал,520000
19,седан,белый,бензин,2007,4,2011,механическая,1.6 LTR,100 N12,130000,передний,Левый,3 или более,Оригинал,530000
20,седан,оранжевый,бензин,2007,4,2011,роботизированная,2.0 LTR,145 N12,111690,передний,Левый,1владелец,Оригинал,700000
21,седан,пурпурный,бензин,2004,4,2006,автоматическая,2.4 LTR,140 N12,212000,передний,Левый,3 или более,Оригинал,400000
22,седан,чёрный,бензин,2007,4,2008,механическая,1.8 LTR,125 N12,276000,передний,Левый,3 или более,Оригинал,380000
23,седан,красный,бензин,2007,4,2008,механическая,1.6 LTR,100 N12,127411,передний,Левый,1владелец,Оригинал,449000
24,седан,оранжевый,бензин,2007,4,2012,роботизированная,2.0 LTR,145 N12,143000,передний,Левый,2владельца,Оригинал,580000
25,седан,чёрный,бензин,2004,4,2007,автоматическая,2.4 LTR,140 N12,170000,передний,Левый,3 или более,Дубликат,420000
26,седан,чёрный,бензин,2007,4,2007,механическая,1.6 LTR,100 N12,203000,передний,Левый,3 или более,Оригинал,355000
27,седан,серебристый,бензин,2004,4,2005,автоматическая,2.4 LTR,140 N12,210000,передний,Левый,3 или более,Оригинал,350000
28,седан,чёрный,бензин,2007,4,2011,роботизированная,2.0 LTR,145 N12,164000,передний,Левый,3 или более,Оригинал,470000
29,седан,синий,бензин,1999,4,2002,механическая,1.6 LTR,109 N12,289104,передний,Левый,3 или более,Оригинал,200000
30,седан,зелёный,бензин,2004,4,2004,автоматическая,2.4 LTR,140 N12,186000,передний,Левый,3 или более,Оригинал,379999
31,седан,серебристый,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,217000,передний,Левый,3 или более,Оригинал,545000
32,седан,красный,бензин,2007,4,2007,автоматическая,2.4 LTR,140 N12,172000,передний,Левый,3 или более,Оригинал,400000
33,седан,чёрный,бензин,2007,4,2011,роботизированная,2.0 LTR,145 N12,187000,передний,Левый,3 или более,Оригинал,430000
34,седан,красный,бензин,2004,4,2006,механическая,1.6 LTR,100 N12,366000,передний,Левый,1владелец,Оригинал,339000
35,седан,чёрный,бензин,2007,4,2011,роботизированная,2.0 LTR,145 N12,163000,передний,Левый,3 или более,Оригинал,505000
36,седан,чёрный,бензин,2007,4,2010,роботизированная,2.0 LTR,145 N12,158000,передний,Левый,3 или более,Дубликат,520000
37,седан,чёрный,бензин,2004,4,2007,механическая,1.8 LTR,125 N12,240000,передний,Левый,2владельца,Оригинал,400000
38,седан,красный,бензин,2004,4,2007,автоматическая,2.4 LTR,140 N12,278000,передний,Левый,3 или более,Дубликат,380000
39,седан,красный,бензин,2007,4,2007,автоматическая,2.4 LTR,140 N12,194000,передний,Левый,3 или более,Дубликат,390000
40,седан,чёрный,бензин,2004,4,2007,автоматическая,2.4 LTR,140 N12,222000,передний,Левый,3 или более,Дубликат,410000
41,седан,белый,бензин,1995,4,1998,механическая,1.7 LTR,115 N12,205000,передний,Левый,3 или более,Оригинал,125000
42,седан,серебристый,бензин,1995,4,1998,механическая,2.0 LTR,140 N12,440000,передний,Левый,1владелец,Дубликат,120000
43,седан,чёрный,бензин,1995,4,1998,механическая,2.0 LTR,200 N12,294000,передний,Левый,3 или более,Дубликат,250000
44,седан,чёрный,бензин,2007,4,2010,роботизированная,2.0 LTR,145 N12,315000,передний,Левый,3 или более,Дубликат,500000
45,седан,чёрный,бензин,2004,4,2006,механическая,1.6 LTR,100 N12,300000,передний,Левый,3 или более,Оригинал,360000
46,седан,чёрный,бензин,1999,4,1999,механическая,1.8 LTR,125 N12,190000,передний,Левый,3 или более,Оригинал,155000
47,седан,чёрный,бензин,2004,4,2006,механическая,1.8 LTR,125 N12,210000,передний,Левый,3 или более,Дубликат,330000
48,седан,белый,бензин,2007,4,2012,роботизированная,2.0 LTR,145 N12,150000,передний,Левый,3 или более,Дубликат,450000
49,седан,фиолетовый,бензин,2004,4,2004,автоматическая,2.4 LTR,140 N12,177000,передний,Левый,3 или более,Дубликат,260000
50,седан,серый,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,189000,передний,Левый,3 или более,Оригинал,575000
51,седан,синий,бензин,1999,4,2002,автоматическая,1.8 LTR,122 N12,213000,передний,Левый,3 или более,Дубликат,170000
52,седан,чёрный,бензин,2007,4,2007,автоматическая,2.4 LTR,140 N12,175000,передний,Левый,3 или более,Дубликат,400000
53,седан,синий,бензин,2007,4,2008,автоматическая,2.4 LTR,140 N12,251400,передний,Левый,3 или более,Дубликат,480000
